,Article_ID,Unnamed: 0.1,Unnamed: 0,name,orcid,doi,title,date,journal,filename,correct_doi,length,contains_doi,path
2659,10-1007_s10943-021-01443-y,138,138,Janina Jolanta Ogińska-Bulik,https://orcid.org/0000-0001-8868-407X,https://doi.org/10.1007/s10943-021-01443-y,Empathy and Cognitive Processing as Factors Determining the Consequences of Secondary Exposure to Trauma Among Roman Catholic Clergymen,2021-10-25,Journal of Religion and Health,Janina_Jolanta_Ogińska-Bulik_1,False,17.0,False,D:\data\ranking\pdfs\v1-1\10-1007_s10943-021-01443-y.pdf
2660,10-1007_s11084-021-09612-5,104,104,Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,https://doi.org/10.1007/s11084-021-09612-5,How the Geomagnetic Field Influences Life on Earth – An Integrated Approach to Geomagnetobiology,2021-09-07,Origins of Life and Evolution of Biospheres,Łukasz_Dominik_Kaczmarek_11,False,19.0,False,D:\data\ranking\pdfs\v1-1\10-1007_s11084-021-09612-5.pdf
2663,10-1007_s11469-021-00707-8,24,24,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.1007/s11469-021-00707-8,Work Addiction and Work Engagement: a Network Approach to Cross-Cultural Data,2021-12-03,International Journal of Mental Health and Addiction,Paweł_Andrzej_Atroszko_10,False,238.0,False,D:\data\ranking\pdfs\v1-1\10-1007_s11469-021-00707-8.pdf
2664,10-1007_s12144-021-02543-4,1,1,Karina Atłas,https://orcid.org/0000-0002-4363-3583,https://doi.org/10.1007/s12144-021-02543-4,Exhausted due to the pandemic: Validation of Coronavirus Stress Measure and COVID-19 Burnout Scale in a Polish sample,2021-11-26,Current Psychology,Karina_Atłas_1,False,13.0,True,D:\data\ranking\pdfs\v1-1\10-1007_s12144-021-02543-4.pdf
2665,10-1007_s12304-021-09470-8,426,429,Joanna Karolina Rączaszek-Leonardi,https://orcid.org/0000-0002-3243-1468,https://doi.org/10.1007/s12304-021-09470-8,Complementarity of Description and the Promise of Semiotics in Dealing with an Eluding Object,2021-12,Biosemiotics,Joanna_Karolina_Rączaszek-Leonardi_1,False,17.0,True,D:\data\ranking\pdfs\v1-1\10-1007_s12304-021-09470-8.pdf
2667,10-1016_j-envint-2021-106975,206,206,Iana Markevych,https://orcid.org/0000-0002-5214-0748,https://doi.org/10.1016/j.envint.2021.106975,Lifelong exposure to residential greenspace and the premenstrual syndrome: A population-based study of Northern European women.,2021-11,Environment international,Iana_Markevych_3,False,9.0,True,D:\data\ranking\pdfs\v1-1\10-1016_j-envint-2021-106975.pdf
2672,10-1016_j-yhbeh-2018-10-007,349,349,Agnieszka Ewa Sorokowska,https://orcid.org/0000-0003-3999-8851,https://doi.org/10.1016/j.yhbeh.2018.10.007,Human Leukocyte Antigen similarity decreases partners' and strangers' body odor attractiveness for women not using hormonal contraception,2018-11,Hormones and Behavior,Agnieszka_Ewa_Sorokowska_40,False,21.0,False,D:\data\ranking\pdfs\v1-1\10-1016_j-yhbeh-2018-10-007.pdf
2679,10-1037_neu0000457,281,281,Agnieszka Niedźwieńska,https://orcid.org/0000-0002-9252-3639,https://doi.org/10.1037/neu0000457,Reduced mind-wandering in mild cognitive impairment: Testing the spontaneous retrieval deficit hypothesis.,2018-09,Neuropsychology,Agnieszka_Niedźwieńska_12,False,53.0,False,D:\data\ranking\pdfs\v1-1\10-1037_neu0000457.pdf
2682,10-1037_xge0000449,76,76,Maciej Roman Hanczakowski,https://orcid.org/0000-0001-8980-4918,https://doi.org/10.1037/xge0000449,Learning through clamor: The allocation and perception of study time in noise,2018,Journal of Experimental Psychology: General,Maciej_Roman_Hanczakowski_6,False,60.0,False,D:\data\ranking\pdfs\v1-1\10-1037_xge0000449.pdf
2687,10-1080_00224545-2021-1979454,263,263,Erica Molinario,https://orcid.org/0000-0002-8421-7594,https://doi.org/10.1080/00224545.2021.1979454,The role of values in coping with health and economic threats of COVID-19,2021-12-24,The Journal of Social Psychology,Erica_Molinario_1,False,8.0,False,D:\data\ranking\pdfs\v1-1\10-1080_00224545-2021-1979454.pdf
2688,10-1080_09658211-2021-1973037,219,219,Marek Antoni Nieznański,https://orcid.org/0000-0002-2457-3909,https://doi.org/10.1080/09658211.2021.1973037,Recollection of “true” feedback is better than “false” feedback independently of a priori beliefs: an investigation from the perspective of dual-recollection theory,2021-10-21,Memory,Marek_Antoni_Nieznański_1,False,3.0,False,D:\data\ranking\pdfs\v1-1\10-1080_09658211-2021-1973037.pdf
2689,10-1080_10409289-2021-1965396,505,505,Tamara Zofia Walczak-Kozłowska,https://orcid.org/0000-0002-9781-7281,https://doi.org/10.1080/10409289.2021.1965396,School (Un)readiness of Children Born Very Prematurely and Its Relation to the Attentional System: Evidence from the Posner Cuing Paradigm Study,2021-08-24,Early Education and Development,Tamara_Zofia_Walczak-Kozłowska_2,False,24.0,False,D:\data\ranking\pdfs\v1-1\10-1080_10409289-2021-1965396.pdf
2690,10-1080_20008198-2021-1964197,72,72,Małgorzata Janina Dragan,https://orcid.org/0000-0001-8221-2012,https://doi.org/10.1080/20008198.2021.1964197,"Risk and protective factors, stressors, and symptoms of adjustment disorder during the COVID-19 pandemic – First results of the ESTSS COVID-19 pan-European ADJUST study",2021-01-01,European Journal of Psychotraumatology,Małgorzata_Janina_Dragan_3,False,15.0,True,D:\data\ranking\pdfs\v1-1\10-1080_20008198-2021-1964197.pdf
2693,10-1080_2326263x-2021-2002004,237,237,Dariusz Jacek Zapała,https://orcid.org/0000-0002-3472-3050,https://doi.org/10.1080/2326263x.2021.2002004,A functional BCI model by the P2731 working group: control interface,2021-10-02,Brain-Computer Interfaces,Dariusz_Jacek_Zapała_2,False,14.0,True,D:\data\ranking\pdfs\v1-1\10-1080_2326263x-2021-2002004.pdf
2697,10-1109_jbhi-2021-3096984,470,470,Michał Wierzchoń,https://orcid.org/0000-0002-7347-2696,https://doi.org/10.1109/jbhi.2021.3096984,Simultaneous Eye Blink Characterization and Elimination from Low-Channel Prefrontal EEG Signals Enhances Driver Drowsiness Detection,2021,IEEE Journal of Biomedical and Health Informatics,Michał_Wierzchoń_3,False,30.0,False,D:\data\ranking\pdfs\v1-1\10-1109_jbhi-2021-3096984.pdf
2699,10-1111_ejed-12474,3,3,Anna Błaszczak,https://orcid.org/0000-0003-0597-5117,https://doi.org/10.1111/ejed.12474,Parental involvement in remote learning during the COVID‐19 pandemic—Dominant approaches and their diverse implications,2021-12,European Journal of Education,Anna_Błaszczak_1,False,8.0,True,D:\data\ranking\pdfs\v1-1\10-1111_ejed-12474.pdf
2717,10-12740_app_142826,31,31,Magdalena Gawrych,https://orcid.org/0000-0003-0668-5437,https://doi.org/10.12740/app/142826,Mental health issues related to climate change in Poland - Polish psychologists’ and psychotherapists’ perspective.,13/11/2021,Archives of Psychiatry and Psychotherapy,Magdalena_Gawrych_1,False,8.0,False,D:\data\ranking\pdfs\v1-1\10-12740_app_142826.pdf
2755,10-12740_pp_onlinefirst_68856,160,160,Wojciech Otrębski,https://orcid.org/0000-0002-8566-0379,https://doi.org/10.12740/pp/onlinefirst/68856,Measurement tools of autism syndrome severity and selected neurocognitive processes in individuals with ASD,2018-08-24,Psychiatria Polska,Wojciech_Otrębski_3,False,16.0,True,D:\data\ranking\pdfs\v1-1\10-12740_pp_onlinefirst_68856.pdf
2763,10-12740_pp_onlinefirst_76541,141,141,Dorota Mącik,https://orcid.org/0000-0001-5015-1059,https://doi.org/10.12740/pp/onlinefirst/76541,Polish adaptation of the Young Schema Questionnaire 3 Short Form (YSQ-S3-PL),2018,Psychiatria Polska,Dorota_Mącik_9,False,24.0,False,D:\data\ranking\pdfs\v1-1\10-12740_pp_onlinefirst_76541.pdf
2793,10-13075_ijomeh-1896-01187,7,7,Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.13075/ijomeh.1896.01187,Development and validation of the Polish version of Colquitt’s Organizational Justice Measure,2018,International Journal of Occupational Medicine and Environmental Health,Łukasz_Baka_8,False,9.0,False,D:\data\ranking\pdfs\v1-1\10-13075_ijomeh-1896-01187.pdf
2839,10-1371_journal-pone-0240209,6,6,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.1371/journal.pone.0240209,People with diabetes need a lower cut-off than others for depression screening with PHQ-9,2020-10-23,PLOS ONE,Ewelina_Cichoń_7,False,20.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0240209.pdf
2840,10-1371_journal-pone-0241694,165,165,Kamil Konrad Imbir,https://orcid.org/0000-0002-3630-5602,https://doi.org/10.1371/journal.pone.0241694,Valence and arousal of words in visual and conceptual interference control efficiency,2020,PLoS ONE,Kamil_Konrad_Imbir_7,False,19.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0241694.pdf
2841,10-1371_journal-pone-0241817,335,335,Włodzimierz Oniszczenko,https://orcid.org/0000-0003-4442-9186,https://doi.org/10.1371/journal.pone.0241817,Personality profiles and meteoropathy intensity: A comparative study between young and older adults,2020,PLoS One,Włodzimierz_Oniszczenko_7,False,10.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0241817.pdf
2842,10-1371_journal-pone-0243234,259,259,Katarzyna Maria Ślebarska,https://orcid.org/0000-0003-2032-0469,https://doi.org/10.1371/journal.pone.0243234,Change of organizational newcomers’ unmet expectations: Does proactive coping matter?,2020-12-10,PLOS ONE,Katarzyna_Maria_Ślebarska_1,False,12.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0243234.pdf
2843,10-1371_journal-pone-0243448,66,66,Małgorzata Górnik-Durose,https://orcid.org/0000-0003-3395-5324,https://doi.org/10.1371/journal.pone.0243448,Adult attachment styles and mothers’ life satisfaction in relation to eating behaviors in the families with overweight and obese children,2020-12-03,PLOS ONE,Małgorzata_Górnik-Durose_3,False,15.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0243448.pdf
2844,10-1371_journal-pone-0247596,116,116,Paulina Michalska,https://orcid.org/0000-0003-2179-0307,https://doi.org/10.1371/journal.pone.0247596,Prevalence and predictors of secondary traumatic stress symptoms in health care professionals working with trauma victims: A cross-sectional study,2021-02-23,PLOS ONE,Paulina_Michalska_4,False,19.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0247596.pdf
2845,10-1371_journal-pone-0252721,128,128,Piotr Janusz Mamcarz,https://orcid.org/0000-0001-6307-6326,https://doi.org/10.1371/journal.pone.0252721,Can moral reasoning be modeled in an experiment?,2021-06-10,PLOS ONE,Piotr_Janusz_Mamcarz_2,False,24.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0252721.pdf
2846,10-1371_journal-pone-0254458,44,44,Barbara Jolanta Bętkowska-Korpała,https://orcid.org/0000-0001-7893-8726,https://doi.org/10.1371/journal.pone.0254458,Differences in personality related determinants of empathetic sensibility in female and male students of medicine,2021,PLoS ONE,Barbara_Jolanta_Bętkowska-Korpała_1,False,15.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0254458.pdf
2847,10-1371_journal-pone-0255386,11,11,Mateusz Blukacz,https://orcid.org/0000-0002-4689-5650,https://doi.org/10.1371/journal.pone.0255386,How relevant for you is to be a moral person? Polish validation of the Self-Importance of Moral Identity Scale,2021-08-03,PLOS ONE,Mateusz_Blukacz_2,False,19.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0255386.pdf
2848,10-1371_journal-pone-0255460,101,101,Dawid Konrad Ścigała,https://orcid.org/0000-0003-1409-5218,https://doi.org/10.1371/journal.pone.0255460,Relationship between interoceptive sensibility and somatoform disorders in adults with autism spectrum traits. The mediating role of alexithymia and emotional dysregulation,24/08/2021,PLOS ONE,Dawid_Konrad_Ścigała_3,False,18.0,True,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0255460.pdf
2849,10-1371_journal-pone-0255537,465,468,Marcin Tomasz Rzeszutek,https://orcid.org/0000-0002-4230-3806,https://doi.org/10.1371/journal.pone.0255537,Managerial overconfidence in capital structure decisions and its link to aggregate demand: An agent-based model perspective,2021-08-19,PLOS ONE,Marcin_Tomasz_Rzeszutek_6,False,33.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0255537.pdf
2850,10-1371_journal-pone-0255750,329,329,Włodzimierz Oniszczenko,https://orcid.org/0000-0003-4442-9186,https://doi.org/10.1371/journal.pone.0255750,Anxious temperament and cyberchondria as mediated by fear of COVID-19 infection: A cross-sectional study,2021,PLoS ONE,Włodzimierz_Oniszczenko_1,False,10.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0255750.pdf
2851,10-1371_journal-pone-0256430,35,35,Maciej Behnke,https://orcid.org/0000-0002-2455-4556,https://doi.org/10.1371/journal.pone.0256430,"How seasons, weather, and part of day influence baseline affective valence in laboratory research participants?",2021-08-19,PLoS ONE,Maciej_Behnke_5,False,14.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0256430.pdf
2852,10-1371_journal-pone-0256483,34,34,Maciej Behnke,https://orcid.org/0000-0002-2455-4556,https://doi.org/10.1371/journal.pone.0256483,"I am afraid, so I buy it! The effects of anxiety on consumer assimilation and differentiation needs amongst individuals primed with independent and interdependent self-construal",2021-09-01,PLOS ONE,Maciej_Behnke_4,False,19.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0256483.pdf
2853,10-1371_journal-pone-0256558,415,418,Monika Prusik,https://orcid.org/0000-0001-8552-9920,https://doi.org/10.1371/journal.pone.0256558,Is self-determination good for your effectiveness? A study of factors which influence performance within self-determination theory,2021-09-08,PLOS ONE,Monika_Prusik_3,False,17.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0256558.pdf
2854,10-1371_journal-pone-0257252,112,112,Tomasz Daniel Jakubowski,https://orcid.org/0000-0002-1918-4028,https://doi.org/10.1371/journal.pone.0257252,Teachers’ mental health during the first two waves of the COVID-19 pandemic in Poland,2021-09-23,PLOS ONE,Tomasz_Daniel_Jakubowski_3,False,25.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0257252.pdf
2855,10-1371_journal-pone-0257678,6,6,Aleksandra Bala,https://orcid.org/0000-0001-6239-7232,https://doi.org/10.1371/journal.pone.0257678,Occult focal cortical dysplasia may predict poor outcome of surgery for drug-resistant mesial temporal lobe epilepsy,2021-09-30,PLOS ONE,Aleksandra_Bala_2,False,15.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0257678.pdf
2856,10-1371_journal-pone-0258606,188,188,Irena Pilch,https://orcid.org/0000-0002-4471-1993,https://doi.org/10.1371/journal.pone.0258606,The predictors of adaptive and maladaptive coping behavior during the COVID-19 pandemic: The Protection Motivation Theory and the Big Five personality traits,2021-10-19,PLOS ONE,Irena_Pilch_1,False,19.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0258606.pdf
2857,10-1371_journal-pone-0258609,229,229,Elżbieta Anna Sanecka,https://orcid.org/0000-0003-3401-2782,https://doi.org/10.1371/journal.pone.0258609,Grandiose and vulnerable narcissism and regulatory focus at work in relation to strengths use and deficit correction in the workplace,2021-10-22,PLOS ONE,Elżbieta_Anna_Sanecka_2,False,18.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0258609.pdf
2858,10-1371_journal-pone-0258740,226,226,Jagoda Paulina Różycka,https://orcid.org/0000-0003-3341-4202,https://doi.org/10.1371/journal.pone.0258740,How I see is how I feel. Identification of illness perception schema and its association with adaptation outcomes in multiple sclerosis – a 5-year prospective study,2021-10-28,PLOS ONE,Jagoda_Paulina_Różycka_1,False,26.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0258740.pdf
2859,10-1371_journal-pone-0258948,413,416,Monika Prusik,https://orcid.org/0000-0001-8552-9920,https://doi.org/10.1371/journal.pone.0258948,The basic psychological needs satisfaction and frustration scale at work: A validation in the Polish language,2021-11-04,PLOS ONE,Monika_Prusik_1,False,17.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0258948.pdf
2860,10-1371_journal-pone-0259025,111,111,Tomasz Daniel Jakubowski,https://orcid.org/0000-0002-1918-4028,https://doi.org/10.1371/journal.pone.0259025,The impact of the traditional male role norms on the posttraumatic stress disorder among Polish male firefighters,2021-10-27,PLOS ONE,Tomasz_Daniel_Jakubowski_2,False,18.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0259025.pdf
2861,10-1371_journal-pone-0261507,413,413,Agnieszka Strojny,https://orcid.org/0000-0002-0625-383X,https://doi.org/10.1371/journal.pone.0261507,VR Realism Scale—Revalidation of contemporary VR headsets on a Polish sample,2021-12-21,PLOS ONE,Agnieszka_Strojny_1,False,27.0,False,D:\data\ranking\pdfs\v1-1\10-1371_journal-pone-0261507.pdf
2864,10-14254_1795-6889-2021-17-3-2,257,257,Paweł Stefan Jurek,https://orcid.org/0000-0002-9958-3941,https://doi.org/10.14254/1795-6889.2021.17-3.2,Perceived technostress while learning a new mobile technology: Do individual differences and the way technology is presented matter?,2021-12-31,Human Technology,Paweł_Stefan_Jurek_6,False,16.0,True,D:\data\ranking\pdfs\v1-1\10-14254_1795-6889-2021-17-3-2.pdf
2867,10-14691_cppj-24-3-481,8,8,Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.14691/cppj.24.3.481,Mechanizmy kształtowania się zdolności do pracy w świetle modelu wymagania w pracy - zasoby,2018,Czasopismo Psychologiczne -Pychological Journal,Łukasz_Baka_9,False,13.0,False,D:\data\ranking\pdfs\v1-1\10-14691_cppj-24-3-481.pdf
2871,10-14746_cis-2018-45-1,197,197,Monika Obrębska,https://orcid.org/0000-0003-0457-5402,https://doi.org/10.14746/cis.2018.45.1,Oblicza współczesności: od problemów do zadań,2018,Człowiek i Społeczeństwo,Monika_Obrębska_12,False,9.0,False,D:\data\ranking\pdfs\v1-1\10-14746_cis-2018-45-1.pdf
2872,10-14746_cis-2020-49-1,188,188,Monika Obrębska,https://orcid.org/0000-0003-0457-5402,https://doi.org/10.14746/cis.2020.49.1,Wprowadzenie,2020,Człowiek i Społeczeństwo,Monika_Obrębska_4,False,4.0,False,D:\data\ranking\pdfs\v1-1\10-14746_cis-2020-49-1.pdf
2873,10-14746_cis-2020-49-12,285,285,Julita Wojciechowska,https://orcid.org/0000-0003-1678-3954,https://doi.org/10.14746/cis.2020.49.12,"Humanista w dobrym kontakcie, czyli o tutoringu akademickim",2020-06-15,Człowiek i Społeczeństwo,Julita_Wojciechowska_1,False,8.0,False,D:\data\ranking\pdfs\v1-1\10-14746_cis-2020-49-12.pdf
2879,10-14746_cis-2021-51-1,14,14,Lucyna Bakiera,https://orcid.org/0000-0003-4559-0430,https://doi.org/10.14746/cis.2021.51.1,Blisko czy na dystans? Psychologiczne aspekty relacji międzyludzkich,2021-03-15,Człowiek i Społeczeństwo,Lucyna_Bakiera_1,False,13.0,False,D:\data\ranking\pdfs\v1-1\10-14746_cis-2021-51-1.pdf
2887,10-14746_ikps-2017-17-05,8,8,KAROLINA KALISZEWSKA,https://orcid.org/0000-0002-3925-8397,https://doi.org/10.14746/ikps.2017.17.05,Proces adaptacji rodziców do roli rodzicielskiej dziecka z zespołem Downa jako strategia radzenia sobie z sytuacją stresową,2018-09-09,Interdyscyplinarne Konteksty Pedagogiki Specjalnej,KAROLINA_KALISZEWSKA_1,False,28.0,False,D:\data\ranking\pdfs\v1-1\10-14746_ikps-2017-17-05.pdf
2890,10-14746_il-2018-42-1,192,192,Monika Obrębska,https://orcid.org/0000-0003-0457-5402,https://doi.org/10.14746/il.2018.42.1,Czy dwujęzyczność sprzyja kreatywności? Doniesienie z badań,2019,Investigationes Linguisticae,Monika_Obrębska_8,False,11.0,False,D:\data\ranking\pdfs\v1-1\10-14746_il-2018-42-1.pdf
2892,10-14746_prt-2021-2-6,129,129,Radosław Stupak,https://orcid.org/0000-0002-7318-546X,https://doi.org/10.14746/prt.2021.2.6,Przez kwasową psychiatrię do kwasowego komunizmu. Renesans psychodeliczny w psychiatrii jako szansa na zmianę paradygmatu,2021,Praktyka Teoretyczna,Radosław_Stupak_2,False,54.0,False,D:\data\ranking\pdfs\v1-1\10-14746_prt-2021-2-6.pdf
2895,10-14746_rpeis-2017-79-2-4,55,55,Teresa Chirkowska-Smolak,https://orcid.org/0000-0003-3942-5594,https://doi.org/10.14746/rpeis.2017.79.2.4,Oceny moralne w rozumowaniu sędziowskim,2017,"Ruch Prawniczy, Ekonomiczny i Socjologiczny",Teresa_Chirkowska-Smolak_6,False,16.0,False,D:\data\ranking\pdfs\v1-1\10-14746_rpeis-2017-79-2-4.pdf
2925,10-15219_em72-1323,83,83,Łukasz Radosław Krzywoszański,https://orcid.org/0000-0001-9222-2150,https://doi.org/10.15219/em72.1323,Perspektywy stosowania w edukacji techniki implementacji intencji,2017-12-31,e-mentor,Łukasz_Radosław_Krzywoszański_7,False,18.0,False,D:\data\ranking\pdfs\v1-1\10-15219_em72-1323.pdf
2926,10-15219_em91-1533,23,23,Aleksandra Błachnio,https://orcid.org/0000-0003-0756-7416,https://doi.org/10.15219/em91.1533,Zadowolenie z życia słuchaczy uniwersytetów trzeciego wieku,2021-10,e-mentor,Aleksandra_Błachnio_2,False,16.0,False,D:\data\ranking\pdfs\v1-1\10-15219_em91-1533.pdf
2929,10-1530_ec-21-0257,229,229,Agnieszka Krystyna Nomejko,https://orcid.org/0000-0003-0254-9892,https://doi.org/10.1530/ec-21-0257,Lower sexual satisfaction in women with polycystic ovary syndrome and metabolic syndrome,2021-07-28,Endocrine Connections,Agnieszka_Krystyna_Nomejko_1,False,25.0,False,D:\data\ranking\pdfs\v1-1\10-1530_ec-21-0257.pdf
2934,10-15398_jlm-v5i3-190,283,283,Mariusz Urbański,https://orcid.org/0000-0002-8682-5307,https://doi.org/10.15398/jlm.v5i3.190,Erotetic Reasoning  Corpus. A data set for research on natural question processing,2017,Journal of Language Modelling,Mariusz_Urbański_12,False,25.0,False,D:\data\ranking\pdfs\v1-1\10-15398_jlm-v5i3-190.pdf
2936,10-15503_jecs20132-361-374,460,460,Magdalena Żemojtel-Piotrowska,https://orcid.org/0000-0002-8017-8014,https://doi.org/10.15503/jecs20132.361.374,The Importance of Material Status for Electoral Chances and Perception of Politician: Delegitimization of Wealth as Post-transition Specificity?,2020-01-10,Journal of Education Culture and Society,Magdalena_Żemojtel-Piotrowska_16,False,14.0,True,D:\data\ranking\pdfs\v1-1\10-15503_jecs20132-361-374.pdf
2940,10-15503_onis2014-648-655,3,3,Katarzyna Anna Błońska,https://orcid.org/0000-0001-7210-777X,https://doi.org/10.15503/onis2014.648.655,Teatr tańca i jego terapeutyczne aspekty,2020-02-15,Ogrody Nauk i Sztuk,Katarzyna_Anna_Błońska_4,False,8.0,True,D:\data\ranking\pdfs\v1-1\10-15503_onis2014-648-655.pdf
2942,10-15503_onis2019-56-62,19,19,Katarzyna Chotkowska,https://orcid.org/0000-0002-4006-9446,https://doi.org/10.15503/onis2019.56.62,Choroby psychiczne. Edukacja antydyskryminacyjna,14/08/2019,Ogrody Nauk i Sztuk,Katarzyna_Chotkowska_2,False,7.0,True,D:\data\ranking\pdfs\v1-1\10-15503_onis2019-56-62.pdf
2966,10-15804_kimwe2018111,21,21,Małgorzata Anna Gut,https://orcid.org/0000000165407192 ,https://doi.org/10.15804/kimwe2018111,Znaczenie ruchu w edukacji matematycznej : ucieleśnione poznanie a kształtowanie się umysłowych reprezentacji liczb u dzieci.,2018,Kognitywistyka i Media w Edukacji,Małgorzata_Anna_Gut_2,False,22.0,False,D:\data\ranking\pdfs\v1-1\10-15804_kimwe2018111.pdf
2977,10-16910_jemr-13-5-2,463,463,Szymon Wichary,https://orcid.org/0000-0002-0790-2977,https://doi.org/10.16910/jemr.13.5.2,Pupillary and microsaccadic responses to cognitive effort and emotional arousal during complex decision making,2020,Journal of Eye Movement Research,Szymon_Wichary_1,False,15.0,True,D:\data\ranking\pdfs\v1-1\10-16910_jemr-13-5-2.pdf
2993,10-17951_j-2017-30-1-7,134,134,Magdalena Sylwia Kapała,https://orcid.org/0000-0002-9384-9905,https://doi.org/10.17951/j.2017.30.1.7,Duchowość jako niedoceniany aspekt psyche : propozycja nowego ujęcia duchowości w psychologii - kategoria wrażliwości duchowej,2017,"Annales Universitatis Mariae Curie-Skłodowska. Sectio J, Paedagogia-Psychologia",Magdalena_Sylwia_Kapała_1,False,31.0,False,D:\data\ranking\pdfs\v1-1\10-17951_j-2017-30-1-7.pdf
3004,10-17951_j-2018-31-3-23-37,33,33,Sara Aleksandra Filipiak,https://orcid.org/0000-0001-7818-7168,https://doi.org/10.17951/j.2018.31.3.23-37,Giętkość poznawcza i zdolność do planowania a spostrzeganie kontroli w sytuacjach sukcesów i niepowodzeń przez dzieci przedszkolne,2019-02-26,"Annales Universitatis Mariae Curie-Skłodowska, sectio J – Paedagogia-Psychologia",Sara_Aleksandra_Filipiak_12,False,15.0,False,D:\data\ranking\pdfs\v1-1\10-17951_j-2018-31-3-23-37.pdf
3041,10-17951_pe-2018-2-131-141,60,60,Tomasz Rafał Knopik,https://orcid.org/0000-0001-5253-7545,https://doi.org/10.17951/pe.2018.2.131-141,Education Towards Wisdom in Educational and Vocational Guidance,2019-01-17,Prima Educatione,Tomasz_Rafał_Knopik_11,False,11.0,True,D:\data\ranking\pdfs\v1-1\10-17951_pe-2018-2-131-141.pdf
3042,10-17951_pe-2021-5-231-233,55,55,Tomasz Rafał Knopik,https://orcid.org/0000-0001-5253-7545,https://doi.org/10.17951/pe.2021.5.231-233,"Urszula Oszwa, Lęk przed matematyką. Poglądy, badania, rozwiązania, Wydawnictwo UMCS, Lublin 2020, pp. 274",2021-11-15,Prima Educatione,Tomasz_Rafał_Knopik_6,False,3.0,True,D:\data\ranking\pdfs\v1-1\10-17951_pe-2021-5-231-233.pdf
3044,10-18290_pepsi-2020-0001,289,289,Czesław Noworol,https://orcid.org/0000-0003-4957-3865,https://doi.org/10.18290/pepsi-2020-0001,Growth of Employability through Reinforcing Apprentice Career Paths in Craftsmanship,2021-02-24,Journal for Perspectives of Economic Political and Social Integration,Czesław_Noworol_1,False,21.0,False,D:\data\ranking\pdfs\v1-1\10-18290_pepsi-2020-0001.pdf
3045,10-18290_pepsi-2020-0002,81,81,Paweł Kot,https://orcid.org/0000-0003-1471-1228,https://doi.org/10.18290/pepsi-2020-0002,Psychosocial Aspects of Employee Control with the Use of Modern Technologies,2021-02-24,Journal for Perspectives of Economic Political and Social Integration,Paweł_Kot_1,False,20.0,False,D:\data\ranking\pdfs\v1-1\10-18290_pepsi-2020-0002.pdf
3059,10-18290_rpsych-2017-20-4-1pl,65,65,Arkadiusz Piotr Białek,https://orcid.org/0000-0002-9002-4764,https://doi.org/10.18290/rpsych.2017.20.4-1pl,"Recursion as a common ground of mental, communicative, and linguistic processes,Rekursja jako wspólna podstawa procesów umysłowych, komunikacyjnych i jȩzykowych",2017,Annals of Psychology,Arkadiusz_Piotr_Białek_11,False,21.0,False,D:\data\ranking\pdfs\v1-1\10-18290_rpsych-2017-20-4-1pl.pdf
3060,10-18290_rpsych-2017-20-4-2en,13,13,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.18290/rpsych.2017.20.4-2en,Metacognition increases the severity of depression through trait anxiety in a nonclinical population,2017,Roczniki Psychologiczne,Ewelina_Cichoń_14,False,14.0,False,D:\data\ranking\pdfs\v1-1\10-18290_rpsych-2017-20-4-2en.pdf
