Original Title,Closest 1,Closest 2,Closest 3,doi,Article_ID
eurasian geography and economics,EURASIAN GEOGRAPHY AND ECONOMICS,FOREST POLICY AND ECONOMICS,EASTERN EUROPEAN ECONOMICS,https://doi.org/10.1080/15387216.2019.1574434,10-1080_15387216-2019-1574434
europes journal of psychology,Europes Journal of Psychology,EUROPEAN JOURNAL OF PHYCOLOGY,BRITISH JOURNAL OF PSYCHOLOGY,https://doi.org/10.5964/ejop.v15i2.1632,10-5964_ejop-v15i2-1632
european archives of otorhinolaryngology,EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY,International Archives of Otorhinolaryngology,Brazilian Journal of Otorhinolaryngology,https://doi.org/10.1007/s00405-019-05414-8,10-1007_s00405-019-05414-8
european eating disorders review,EUROPEAN EATING DISORDERS REVIEW,European Business Review,European Cardiology Review,https://doi.org/10.1002/erv.2862,10-1002_erv-2862
european journal of cancer care,EUROPEAN JOURNAL OF CANCER CARE,EUROPEAN JOURNAL OF CANCER,European Journal of Nanomedicine,https://doi.org/10.1111/ecc.12749,10-1111_ecc-12749
european journal of cardiovascular nursing,European Journal of Cardiovascular Nursing,Journal of Cardiovascular Nursing,European Journal of Oncology Nursing,https://doi.org/10.1177/1474515120944518,10-1177_1474515120944518
european journal of developmental psychology,European Journal of Developmental Psychology,BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,European Journal of Health Psychology,https://doi.org/10.1080/17405629.2019.1676715,10-1080_17405629-2019-1676715
european journal of economics and business studies,African Journal of Economic and Management Studies,European Journal of Management and Business Economics,JOURNAL OF ECONOMICS AND BUSINESS,empty,9.08E+18
european journal of education,European Journal of Education,European Journal of Population,European Journal of Probation,https://doi.org/10.1111/ejed.12474,10-1111_ejed-12474
european journal of interdisciplinary studies,Journal of Interdisciplinary Studies,European Journal of American Studies,European Journal of Scandinavian Studies,https://doi.org/10.26417/ejis.v9i1.p73-80,10-26417_ejis-v9i1-p73-80
european journal of neuroscience,EUROPEAN JOURNAL OF NEUROSCIENCE,European Journal of Sport Science,EUROPEAN JOURNAL OF SOIL SCIENCE,https://doi.org/10.1111/ejn.14773,10-1111_ejn-14773
european journal of nutrition,EUROPEAN JOURNAL OF NUTRITION,European Journal of Education,European Journal of Probation,https://doi.org/10.1007/s00394-017-1483-2,10-1007_s00394-017-1483-2
european journal of personality,EUROPEAN JOURNAL OF PERSONALITY,European Journal of Probation,EUROPEAN JOURNAL OF NEUROLOGY,empty,4.01E+17
european journal of population,European Journal of Population,European Journal of Education,European Journal of Probation,https://doi.org/10.1007/s10680-020-09574-w,10-1007_s10680-020-09574-w
european journal of psychiatry,EUROPEAN JOURNAL OF PSYCHIATRY,ASEAN Journal of Psychiatry,AMERICAN JOURNAL OF PSYCHIATRY,https://doi.org/10.1016/j.ejpsy.2017.09.003,10-1016_j-ejpsy-2017-09-003
european journal of psychotraumatology,European Journal of Psychotraumatology,EUROPEAN JOURNAL OF PHARMACOLOGY,European Journal of Rheumatology,https://doi.org/10.1080/20008198.2021.1909281,10-1080_20008198-2021-1909281
european journal of social psychology,EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,European Journal of Health Psychology,ASIAN JOURNAL OF SOCIAL PSYCHOLOGY,https://doi.org/10.1002/ejsp.2694,10-1002_ejsp-2694
european journal of social science education and research,Indian Journal of Pharmaceutical Education and Research,JOURNAL OF PLANNING EDUCATION AND RESEARCH,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,empty,8.91E+18
european journal of special needs education,European Journal of Special Needs Education,European Journal of Dental Education,European Journal of Teacher Education,empty,4.99E+18
european journal of trauma  dissociation,Journal of Trauma & Dissociation,European Journal of Teacher Education,EUROPEAN JOURNAL OF COMMUNICATION,https://doi.org/10.1016/j.ejtd.2021.100204,10-1016_j-ejtd-2021-100204
european management journal,European Management Journal,Project Management Journal,European Management Review,empty,7.48E+18
european psychiatry,EUROPEAN PSYCHIATRY,Alpha Psychiatry,European Security,https://doi.org/10.1192/j.eurpsy.2020.103,10-1192_j-eurpsy-2020-103
european review of applied psychology,European Review of Social Psychology,EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,JOURNAL OF APPLIED PSYCHOLOGY,https://doi.org/10.1016/j.erap.2019.03.004,10-1016_j-erap-2019-03-004
european journal of oral sciences,EUROPEAN JOURNAL OF ORAL SCIENCES,EUROPEAN JOURNAL OF SOIL SCIENCE,European Journal of Sport Science,https://doi.org/10.1111/eos.12404,10-1111_eos-12404
european journal of surgical oncology  the journal of the european society of surgical oncology and the british association of surgical oncology,Fabrications-The Journal of the Society of Architectural Historians Australia and New Zealand,Architectural Heritage: Journal of the Architectural Heritage Society of Scotland,ET-Studies - Journal of the European Society for Catholic Theology,https://doi.org/10.1016/j.ejso.2018.03.020,10-1016_j-ejso-2018-03-020
european neuropsychopharmacology  the journal of the european college of neuropsychopharmacology,INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,ET-Studies - Journal of the European Society for Catholic Theology,PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,https://doi.org/10.1016/j.euroneuro.2017.05.008,10-1016_j-euroneuro-2017-05-008
evolutionary behavioral sciences,Journal of Behavioral Science,Evolutionary Psychological Science,Psychiatry and Behavioral Sciences,https://doi.org/10.1037/ebs0000201,10-1037_ebs0000201
evolutionary psychological sciences,Evolutionary Psychological Science,Clinical Psychological Science,Evolutionary Psychology,https://doi.org/10.1007/s40806-021-00275-z,10-1007_s40806-021-00275-z
evolutionary psychology,Evolutionary Psychology,EVOLUTIONARY ECOLOGY,Evolutionary Biology,https://doi.org/10.1177/1474704918775253,10-1177_1474704918775253
experimental brain research,EXPERIMENTAL BRAIN RESEARCH,EXPERIMENTAL AGING RESEARCH,EXPERIMENTAL CELL RESEARCH,https://doi.org/10.1007/s00221-017-5080-7,10-1007_s00221-017-5080-7
experimental psychology,EXPERIMENTAL PSYCHOLOGY,EXPERIMENTAL PHYSIOLOGY,EXPERIMENTAL NEUROLOGY,empty,6.86E+18
expert review of medical devices,Expert Review of Medical Devices,Expert Review of Vaccines,Expert Review of Proteomics,https://doi.org/10.1080/17434440.2020.1770592,10-1080_17434440-2020-1770592
explore,ECOLOGY,FLORA,mSphere,https://doi.org/10.1016/j.explore.2019.07.016,10-1016_j-explore-2019-07-016
ezik i literatura,Ezik i literatura,CESKA LITERATURA,Paidia i Literatura,empty,2.75E+18
frontiers in psychology,Frontiers in Psychology,Frontiers in Physiology,Frontiers in Oncology,https://doi.org/10.3389/fpsyg.2017.00395,10-3389_fpsyg-2017-00395
fabrica societatis,Fabrica Societatis,AMERICAN SCIENTIST,Aula Orientalis,empty,6.28E+18
family forum,Family Forum,Family Journal,Cancer Forum,https://doi.org/10.25167/ff/1861,10-25167_ff_1861
fatigue biomedicine health  behavior,Fatigue-Biomedicine Health and Behavior,AMERICAN JOURNAL OF HEALTH BEHAVIOR,Religion Brain & Behavior,https://doi.org/10.1080/21641846.2020.1827504,10-1080_21641846-2020-1827504
feminism  psychology,FEMINISM & PSYCHOLOGY,POLITICAL PSYCHOLOGY,MEDIA PSYCHOLOGY,https://doi.org/10.1177/0959353520979500,10-1177_0959353520979500
fides ratio et patria studia toruńskie,"Fides, Ratio et Patria. Studia Toruńskie",International Area Studies Review,Krakowskie Studia Małopolskie,https://doi.org/10.56583/frp.653,10-56583_frp-653
filozofia nauki,Filozofia Nauki,FILOZOFIA,Filosofia Politica,empty,-3.89E+18
filozofia publiczna i edukacja demokratyczna,Filozofia Publiczna i Edukacja Demokratyczna,Filozoficzne Problemy Edukacji,ECONOMIC AND INDUSTRIAL DEMOCRACY,https://doi.org/10.14746%2Ffped.2017.6.2.21,10-14746%2Ffped-2017-6-2-21
first language,First Language,MIND & LANGUAGE,LANGUAGE,https://doi.org/10.1177/0142723720966815,10-1177_0142723720966815
fizjoterapia polska,Ginekologia Polska,Farmacja Polska,Gerontologia Polska,empty,-9.08E+18
flavour and fragrance journal,FLAVOUR AND FRAGRANCE JOURNAL,FOOD AND DRUG LAW JOURNAL,Global Finance Journal,https://doi.org/10.1002/ffj.3493,10-1002_ffj-3493
folia cardiologica,Folia Cardiologica,ACTA CARDIOLOGICA,FOLIA BIOLOGICA,https://doi.org/10.5603/fc.2019.0008,10-5603_fc-2019-0008
folia neuropathologica,FOLIA NEUROPATHOLOGICA,ACTA NEUROPATHOLOGICA,FOLIA MORPHOLOGICA,https://doi.org/10.5114/fn.2018.76612,10-5114_fn-2018-76612
folia psychologica,ACTA PSYCHOLOGICA,STUDIA PSYCHOLOGICA,FOLIA MORPHOLOGICA,empty,2.28E+18
folia turistica,Folia Turistica,Acta Turistica,FOLIA LINGUISTICA,https://doi.org/10.5604/01.3001.0013.7484,10-5604_01-3001-0013-7484
folia medica cracoviensia,Folia Historica Cracoviensia,Classica Cracoviensia,Analecta Cracoviensia,empty,4.65E+17
food chemistry,FOOD CHEMISTRY,Food & History,Open Chemistry,https://doi.org/10.1016/j.foodchem.2019.05.121,10-1016_j-foodchem-2019-05-121
food policy,FOOD POLICY,Law & Policy,Global Policy,https://doi.org/10.1016/j.foodpol.2020.101873,10-1016_j-foodpol-2020-101873
food research international,FOOD RESEARCH INTERNATIONAL,Biomed Research International,STEEL RESEARCH INTERNATIONAL,https://doi.org/10.1016/j.foodres.2021.110752,10-1016_j-foodres-2021-110752
foods,Foods,Fluids,Atoms,https://doi.org/10.3390/foods10102420,10-3390_foods10102420
forum filologiczne ateneum,Forum Filologiczne Ateneum,Forum Teologiczne,Prace Filologiczne,https://doi.org/10.36575/2353-2912/1(7)2019.257,10-36575_2353-2912_1(7)2019-257
forum nefrologiczne tom  nr  ,Forum Filologiczne Ateneum,Forum Teologiczne,Forum Pedagogiczne,empty,8.97E+17
forum qualitative sozialforschung  forum qualitative social research,Qualitative Research in Sport Exercise and Health,Departures in Critical Qualitative Research,International Journal for Quality Research,https://doi.org/10.17169/fqs-20.1.3005,10-17169_fqs-20-1-3005
forum socjologiczne,Forum Teologiczne,Forum Pedagogiczne,Forum Reumatologiczne,https://doi.org/10.19195/2083-7763.10.17,10-19195_2083-7763-10-17
foundations of science,Foundations of Science,Foundations of Data Science,FOUNDATIONS OF PHYSICS,https://doi.org/10.1007/s10699-019-09603-w,10-1007_s10699-019-09603-w
front psychiatry,World Psychiatry,BMC Psychiatry,Lancet Psychiatry,https://doi.org/10.3389/fpsyt.2021.609190,10-3389_fpsyt-2021-609190
front psychol,CURRENT PSYCHOLOGY,Frontiera ORL,Cogent Psychology,empty,5.63E+18
frontiers in aging neuroscience,Frontiers in Aging Neuroscience,Frontiers in Human Neuroscience,Frontiers in Neuroscience,empty,-4.70E+18
frontiers in behavioral neuroscience,Frontiers in Behavioral Neuroscience,Frontiers in Human Neuroscience,Frontiers in Computational Neuroscience,https://doi.org/10.3389/fnbeh.2017.00154,10-3389_fnbeh-2017-00154
frontiers in education,Frontiers in Nutrition,Frontiers in Medicine,Frontiers in Communication,empty,3.37E+18
frontiers in human neuroscience,Frontiers in Human Neuroscience,Frontiers in Aging Neuroscience,Frontiers in Neuroscience,https://doi.org/10.3389/fnhum.2017.00273,10-3389_fnhum-2017-00273
frontiers in neuroinformatics,Frontiers in Neuroinformatics,Frontiers in Neurorobotics,Frontiers in Neuroanatomy,https://doi.org/10.3389/fninf.2018.00078,10-3389_fninf-2018-00078
frontiers in neurorobotics,Frontiers in Neurorobotics,Frontiers in Neuroinformatics,Frontiers in Neuroscience,https://doi.org/10.3389/fnbot.2018.00014,10-3389_fnbot-2018-00014
frontiers in neuroscience,Frontiers in Neuroscience,Frontiers in Earth Science,Frontiers in Life Science,https://doi.org/10.3389/fnins.2017.00525,10-3389_fnins-2017-00525
frontiers in pediatrics,Frontiers in Pediatrics,Frontiers in Genetics,Frontiers in Medicine,https://doi.org/10.3389/fped.2018.00323,10-3389_fped-2018-00323
frontiers in physiology,Frontiers in Physiology,Frontiers in Psychology,Frontiers in Physics,https://doi.org/10.3389/fpsyg.2017.01884,10-3389_fpsyg-2017-01884
frontiers in psychiatry,Frontiers in Psychiatry,Frontiers in Psychology,Frontiers in Chemistry,https://doi.org/10.3389/fpsyt.2021.614361,10-3389_fpsyt-2021-614361
frontiers in psychology,Frontiers in Psychology,Frontiers in Physiology,Frontiers in Oncology,https://doi.org/10.3389/fpsyg.2017.00395,10-3389_fpsyg-2017-00395
frontiers in public health,Frontiers in Public Health,Advances in Public Health,Zoonoses and Public Health,empty,4.93E+18
frontiers in systems neuroscience,Frontiers in Systems Neuroscience,Frontiers in Human Neuroscience,Frontiers in Aging Neuroscience,https://doi.org/10.3389/fnsys.2019.00043,10-3389_fnsys-2019-00043
frontiers in behavioral neuroscience,Frontiers in Behavioral Neuroscience,Frontiers in Human Neuroscience,Frontiers in Computational Neuroscience,https://doi.org/10.3389/fnbeh.2017.00154,10-3389_fnbeh-2017-00154
frontiers in human neuroscience,Frontiers in Human Neuroscience,Frontiers in Aging Neuroscience,Frontiers in Neuroscience,https://doi.org/10.3389/fnhum.2017.00273,10-3389_fnhum-2017-00273
frontiers in neuroscience,Frontiers in Neuroscience,Frontiers in Earth Science,Frontiers in Life Science,https://doi.org/10.3389/fnins.2017.00525,10-3389_fnins-2017-00525
frontiers in psychiatry,Frontiers in Psychiatry,Frontiers in Psychology,Frontiers in Chemistry,https://doi.org/10.3389/fpsyt.2021.614361,10-3389_fpsyt-2021-614361
frontiers in psychology,Frontiers in Psychology,Frontiers in Physiology,Frontiers in Oncology,https://doi.org/10.3389/fpsyg.2017.00395,10-3389_fpsyg-2017-00395
gospodarka rynek edukacja  economy market education,Research in Science & Technological Education,Roeper Review-A Journal on Gifted Education,JOURNAL OF ECONOMIC EDUCATION,empty,6.54E+18
gait and posture,GAIT & POSTURE,Games and Culture,Space and Culture,https://doi.org/10.1016/j.gaitpost.2016.09.020,10-1016_j-gaitpost-2016-09-020
games and culture,Games and Culture,Space and Culture,Design and Culture,https://doi.org/10.1177/1555412015618818,10-1177_1555412015618818
gastroenterology review,Gastroenterology Report,Gastroenterology Research,Gastroenterology Nursing,https://doi.org/10.5114/pg.2018.81081,10-5114_pg-2018-81081
gaz uniw katowice,GAYANA BOTANICA,QUADERNI STORICI,STUDI STORICI,empty,-4.57E+18
gazeta uniwersytecka społeczności akademickiej uniwersytetu gdańskiego,Studia Religiologica - Zeszyty Naukowe Uniwersytetu Jagiellońskiego,Prace Etnograficzne. Zeszyty Naukowe Uniwersytetu Jagiellońskiego,Filologia Polska. Roczniki Naukowe Uniwersytetu Zielonogórskiego,empty,6.92E+18
general and professional education,REMEDIAL AND SPECIAL EDUCATION,JOURNAL OF PROFESSIONAL NURSING,GENDER AND EDUCATION,https://doi.org/10.26325/genpr.2019.1.1,10-26325_genpr-2019-1-1
genes brain and behavior,GENES BRAIN AND BEHAVIOR,Brain and Behavior,Brain Imaging and Behavior,https://doi.org/10.1111/gbb.12457,10-1111_gbb-12457
geriatria,Geriatria,Geriatrics,Geoadria,empty,-4.91E+18
geropsych,Henoch,Tropics,GENOMICS,https://doi.org/10.1024/1662-9647/a000229,10-1024_1662-9647_a000229
gerontol pol,GERONTOLOGY,GERONTOLOGIST,GERODONTOLOGY,empty,-8.45E+18
gerontologia polska,Gerontologia Polska,Ginekologia Polska,Kardiologia Polska,empty,-3.72E+18
ginpolmedproject,Biology Direct,Nano Express,GENOME RESEARCH,empty,3.98E+18
ginekologia polska,Ginekologia Polska,Kardiologia Polska,Gerontologia Polska,https://doi.org/10.5603/gp.a2018.0026,10-5603_gp-a2018-0026
ginekologia i poloznictwo,Ginekologia Polska,Anestezjologia i Ratownictwo,Inżynieria i Budownictwo,empty,2.65E+18
globalization and health,Globalization and Health,Conflict and Health,Global Mental Health,https://doi.org/10.1186/s12992-021-00782-5,10-1186_s12992-021-00782-5
glossa a journal of general linguistics,Glossa-A Journal of General Linguistics,Token: A journal of English Linguistics,RUSSIAN JOURNAL OF GENERAL CHEMISTRY,https://doi.org/10.5334/gjgl.413,10-5334_gjgl-413
gospodarka rynek edukacja  vol  nr   ,Gospodarka Materialowa & Logistyka,Gospodarka w Praktyce i Teorii,COMPARATIVE EDUCATION REVIEW,https://doi.org/10.2139/ssrn.3118075,10-2139_ssrn-3118075
group dynamics,Geodynamics,Fluid Dynamics,OCEAN DYNAMICS,https://doi.org/10.1037/gdn0000125,10-1037_gdn0000125
hacettepe university journal of education,European Journal of Education,Gazi University Journal of Science,Turkish Journal of Education,empty,8.66E+18
harm reduction journal,Harm Reduction Journal,HEALTH EDUCATION JOURNAL,BIOREMEDIATION JOURNAL,https://doi.org/10.1186/s12954-019-0339-x,10-1186_s12954-019-0339-x
health education and behavior,HEALTH EDUCATION & BEHAVIOR,HEALTH EDUCATION RESEARCH,HEALTH EDUCATION JOURNAL,https://doi.org/10.1177/1090198116648266,10-1177_1090198116648266
health problems of civilization,Health Problems of Civilization,HEALTH PROMOTION INTERNATIONAL,HEALTH COMMUNICATION,https://doi.org/10.5114/hpc.2018.76519,10-5114_hpc-2018-76519
health promotion perspectives,Health Promotion Perspectives,Health Promotion Practice,HEALTH PROMOTION INTERNATIONAL,https://doi.org/10.34172/hpp.2020.36,10-34172_hpp-2020-36
health psychology,HEALTH PSYCHOLOGY,THEORY & PSYCHOLOGY,MEDIA PSYCHOLOGY,https://doi.org/10.1037/hea0000799,10-1037_hea0000799
health psychology open,HEALTH PSYCHOLOGY,Health Psychology Review,Health Psychology Report,https://doi.org/10.1177/20551029211024406,10-1177_20551029211024406
health psychology report,Health Psychology Report,Health Psychology Review,Health Psychology Research,https://doi.org/10.5114/hpr.2019.84213,10-5114_hpr-2019-84213
health psychology report   pp ,Health Psychology Report,Health Psychology Research,Health Psychology Review,empty,1.75E+18
health psychology report  ,Health Psychology Report,Health Psychology Research,Health Psychology Review,empty,2.95E+18
health psychology report  ,Health Psychology Report,Health Psychology Research,Health Psychology Review,empty,2.95E+18
health psychology review,Health Psychology Review,Health Sociology Review,Health Psychology Report,https://doi.org/10.1080/17437199.2017.1327325,10-1080_17437199-2017-1327325
health technology assessment,HEALTH TECHNOLOGY ASSESSMENT,Health Psychology Research,Health Psychology Review,https://doi.org/10.3310/hta25120,10-3310_hta25120
health and quality of life outcomes,Health and Quality of Life Outcomes,QUALITY OF LIFE RESEARCH,Health and Human Rights,https://doi.org/10.1186/s12955-017-0645-5,10-1186_s12955-017-0645-5
health care as a personal and social asset,Health Care Management Science,Aotearoa New Zealand Social Work,HEALTH CARE ANALYSIS,https://doi.org/10.4324/9781003053620,10-4324_9781003053620
healthcare,Healthcare,Breast Care,Health Scope,https://doi.org/10.3390/healthcare9040382,10-3390_healthcare9040382
hearing research,HEARING RESEARCH,Tree-Ring Research,NURSING RESEARCH,https://doi.org/10.1016/j.heares.2017.09.012,10-1016_j-heares-2017-09-012
hejnał oświatowy,Forum Oświatowe,German History,Media History,empty,1.60E+18
heliyon,Heliyon,HELIOS,RELIGION,https://doi.org/10.1016/j.heliyon.2021.e06724,10-1016_j-heliyon-2021-e06724
hellenic journal of psychology,Hellenic Journal of Cardiology,AMERICAN JOURNAL OF PSYCHOLOGY,Spanish Journal of Psychology,empty,-9.01E+18
heroin addiction and related clinical problems,Heroin Addiction and Related Clinical Problems,Addiction Science & Clinical Practice,Dental and Medical Problems,empty,7.15E+18
history of psychology,History of Psychology,HISTORY OF PSYCHIATRY,THEORY & PSYCHOLOGY,https://doi.org/10.1037/hop0000029,10-1037_hop0000029
historyka studia metodologiczne,Historyka. Studia Metodologiczne,Tarnowskie Studia Teologiczne,Kieleckie Studia Teologiczne,https://doi.org/10.24425/hsm.2019.130583,10-24425_hsm-2019-130583
hommo ludens,Homo Ludens,Home Cultures,Human Arenas,empty,1.10E+18
horizons of education,History of Education,SOCIOLOGY OF EDUCATION,Journal of Education,https://doi.org/10.17399/hw.2017.163809,10-17399_hw-2017-163809
hormones and behavior,HORMONES AND BEHAVIOR,Brain and Behavior,AIDS AND BEHAVIOR,https://doi.org/10.1016/j.yhbeh.2018.08.014,10-1016_j-yhbeh-2018-08-014
horyzonty psychologii,HORYZONTY WYCHOWANIA,Horyzonty Polityki,CURRENT PSYCHOLOGY,empty,8.29E+18
horyzonty psychologii i nauk o człowieku,PRZEGLĄD SOCJOLOGII JAKOŚCIOWEJ,Postępy Psychiatrii i Neurologii,Teologia i Człowiek,empty,1.63E+18
housing theory and society,Housing Theory & Society,THEORY AND SOCIETY,Social Policy and Society,https://doi.org/10.1080/14036096.2020.1762725,10-1080_14036096-2020-1762725
hrvatska revija za rehabilitacijska istrazivanja,Zbornik Instituta za Pedagoska Istrazivanja,Evropska revija za pravo osiguranja,Economic Research-Ekonomska Istrazivanja,empty,8.05E+18
human movement,HUMAN DEVELOPMENT,Human Gene,Management,https://doi.org/10.1515/humo-2017-0047,10-1515_humo-2017-0047
human nature,HUMAN FACTORS,HUMAN STUDIES,Human Gene,https://doi.org/10.1007/s12110-020-09374-5,10-1007_s12110-020-09374-5
human studies a collection of scientific articles of the drohobych ivan franko state pedagogical university series of pedagogy,BULLETIN OF THE SCHOOL OF ORIENTAL AND AFRICAN STUDIES-UNIVERSITY OF LONDON,Vestnik Tomskogo Gosudarstvennogo Universiteta Istoriya-Tomsk State University Journal of History,Bulletin of Irkutsk State University-Series Mathematics,https://doi.org/10.24919/2313-2094.4/36.98642,10-24919_2313-2094-4_36-98642
human technology,HUMAN ECOLOGY,HUMAN PATHOLOGY,HUMAN IMMUNOLOGY,https://doi.org/10.14254/1795-6889.2021.17-3.2,10-14254_1795-6889-2021-17-3-2
humanum,Quantum,Lucentum,Romania,empty,3.24E+18
hungarian educational research journal,European Educational Research Journal,AMERICAN EDUCATIONAL RESEARCH JOURNAL,BRITISH EDUCATIONAL RESEARCH JOURNAL,https://doi.org/10.14413/herj/7/4/3,10-14413_herj_7_4_3
hygeia warsz,Civil Wars,Venezia Arti,STUDIA BAS,empty,-4.00E+18
hygeia public health,Global Public Health,Critical Public Health,BMC PUBLIC HEALTH,empty,3.09E+18
ieee access,IEEE Access,IEEE MICRO,IEEE Pulse,https://doi.org/10.1109/access.2021.3068961,10-1109_access-2021-3068961
ieee industrial electronics magazine,IEEE Industrial Electronics Magazine,IEEE Consumer Electronics Magazine,IEEE Power Electronics Magazine,https://doi.org/10.1109/mie.2020.2985194,10-1109_mie-2020-2985194
ieee journal of biomedical and health informatics,IEEE Journal of Biomedical and Health Informatics,JOURNAL OF BIOMEDICAL INFORMATICS,Journal of Medical Imaging and Health Informatics,https://doi.org/10.1109/jbhi.2021.3096984,10-1109_jbhi-2021-3096984
ieee open journal of engineering in medicine and biology,IEEE Open Journal of Engineering in Medicine and Biology,Journal of Mechanics in Medicine and Biology,JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,https://doi.org/10.1109/ojemb.2021.3057471,10-1109_ojemb-2021-3057471
ieee sensors journal,IEEE SENSORS JOURNAL,IEEE Systems Journal,IEEE Photonics Journal,https://doi.org/10.1109/jsen.2020.3012404,10-1109_jsen-2020-3012404
ieee transactions on cognitive and developmental systems,IEEE Transactions on Cognitive and Developmental Systems,IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,IEEE Transactions on Control of Network Systems,https://doi.org/10.1109/tcds.2019.2892991,10-1109_tcds-2019-2892991
ieee transactions on neural systems and rehabilitation engineering,IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEJ Transactions on Electrical and Electronic Engineering,https://doi.org/10.1109/tnsre.2021.3054733,10-1109_tnsre-2021-3054733
iet information security,IET Information Security,INFORMATION SOCIETY,INTERNATIONAL SECURITY,https://doi.org/10.1049/ise2.12005,10-1049_ise2-12005
international journal of neuroscience,INTERNATIONAL JOURNAL OF NEUROSCIENCE,International Journal of Nanoscience,International Journal of Oral Science,https://doi.org/10.1080/00207454.2020.1748621,10-1080_00207454-2020-1748621
international journal of psychology,INTERNATIONAL JOURNAL OF PSYCHOLOGY,International Journal of Sociology,International Journal of Technology,https://doi.org/10.1002/ijop.12372,10-1002_ijop-12372
international journal of psychophysiology,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,INTERNATIONAL JOURNAL OF PSYCHOLOGY,International Journal of Sociology,https://doi.org/10.1016/j.ijpsycho.2021.03.002,10-1016_j-ijpsycho-2021-03-002
isee conference abstracts,Il Confronto Letterario,YALE FRENCH STUDIES,SCIENCE & SPORTS,https://doi.org/10.1289/isee.2020.virtual.p-0259,10-1289_isee-2020-virtual-p-0259
industrial health,INDUSTRIAL HEALTH,INDUSTRIAL RELATIONS,Digital Health,https://doi.org/10.2486/indhealth.sw-4,10-2486_indhealth-sw-4
industrial informatics indin  ieee th international conference,NUTRITION AND CANCER-AN INTERNATIONAL JOURNAL,Journal of Informatics and Mathematical Sciences,JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES,empty,-4.08E+18
infancia y aprendizaje,Infancia y Aprendizaje,Infancias Imagenes,Financial Review,https://doi.org/10.1080/02103702.2018.1514710,10-1080_02103702-2018-1514710
infant behavior and development,INFANT BEHAVIOR & DEVELOPMENT,INFANT AND CHILD DEVELOPMENT,BRAIN BEHAVIOR AND EVOLUTION,https://doi.org/10.1016/j.infbeh.2019.03.007,10-1016_j-infbeh-2019-03-007
information systems management,INFORMATION SYSTEMS MANAGEMENT,INFORMATION & MANAGEMENT,HUMAN SYSTEMS MANAGEMENT,https://doi.org/10.1080/10580530.2020.1696548,10-1080_10580530-2020-1696548
information technology for development,Information Technology for Development,Information Technology & Management,Information Technology & People,https://doi.org/10.1080/02681102.2018.1508402,10-1080_02681102-2018-1508402
informator oświatowy,Forum Oświatowe,INFORMATION SOCIETY,Information Fusion,empty,-6.74E+18
intelligence,INTELLIGENCE,Web Intelligence,Data Intelligence,https://doi.org/10.1016/j.intell.2017.12.001,10-1016_j-intell-2017-12-001
interdyscyplinarne konteksty pedagogiki specjalnej,Interdyscyplinarne Konteksty Pedagogiki Specjalnej,Niepełnosprawność. Dyskursy pedagogiki specjalnej,Interdisciplinary Studies of Literature,https://doi.org/10.14746/ikps.2018.20.03,10-14746_ikps-2018-20-03
internal security,Internal Security,INTERNATIONAL SECURITY,INTERNAL MEDICINE,https://doi.org/10.5604/01.3001.0014.3201,10-5604_01-3001-0014-3201
international archives of occupational and environmental health,INTERNATIONAL ARCHIVES OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH,INTERNATIONAL JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH,International Journal of Occupational and Environmental Medicine,https://doi.org/10.1007/s00420-021-01689-9,10-1007_s00420-021-01689-9
international clinical neuroscience journal,International Cancer Conference Journal,INTERNATIONAL POLITICAL SCIENCE REVIEW,International Public Management Journal,https://doi.org/10.34172/icnj.2021.26,10-34172_icnj-2021-26
international emergency nursing,International Emergency Nursing,Journal of Emergency Nursing,International Energy Journal,https://doi.org/10.1016/j.ienj.2018.02.004,10-1016_j-ienj-2018-02-004
international gambling studies,International Gambling Studies,International Planning Studies,International Sports Studies,https://doi.org/10.1080/14459795.2020.1808045,10-1080_14459795-2020-1808045
international journal for the advancement of counselling,INTERNATIONAL JOURNAL FOR THE ADVANCEMENT OF COUNSELLING,International Journal of Pavement Engineering,International Journal for the Psychology of Religion,https://doi.org/10.1007/s10447-020-09405-x,10-1007_s10447-020-09405-x
international journal of academic research in business and social sciences,International Journal of New Economics and Social Sciences,International Journal of Innovative Technologies in Social Science,International Journal of Medical Research & Health Sciences,https://doi.org/10.6007/ijarbss/v8-i3/3940,10-6007_ijarbss_v8-i3_3940
