Original Title,Closest 1,Closest 2,Closest 3
cywilizacja  o nauce moralności sztuce i religii,Cywilizacja i Polityka,Journal for the Academic Study of Religion,Colloquia Germanica Stetinensia
człowiekniepełnosprawnośćspołeczeństwo,CZŁOWIEK NIEPEŁNOSPRAWNOŚĆ SPOŁECZEŃSTWO,Człowiek i Społeczeństwo,"Przestrzeń, Ekonomia, Społeczeństwo"
database  the journal of biological databases and curation,Database-The Journal of Biological Databases and Curation,JOURNAL OF BIOLOGICAL EDUCATION,Egyptian Journal of Biological Pest Control
death studies,DEATH STUDIES,DESIGN STUDIES,Legal Studies
decyzje,EYE,De Jure,De Arte
demographic research,Demographic Research,Geographical Research,PEDIATRIC RESEARCH
dental and medical problems,Dental and Medical Problems,Race and Social Problems,Chemical Problems
deutsches arzteblatt international,Deutsches Arzteblatt International,Genetics Research International,NEUROCHEMISTRY INTERNATIONAL
developmental cognitive neuroscience,Developmental Cognitive Neuroscience,DEVELOPMENTAL NEUROSCIENCE,JOURNAL OF COGNITIVE NEUROSCIENCE
developmental neuropsychology,DEVELOPMENTAL NEUROPSYCHOLOGY,DEVELOPMENTAL PSYCHOLOGY,Developmental Neurobiology
developmental psychology,DEVELOPMENTAL PSYCHOLOGY,DEVELOPMENTAL PSYCHOBIOLOGY,DEVELOPMENTAL BIOLOGY
developmental period medicine,DEVELOPMENTAL NEUROSCIENCE,DEVELOPMENTAL SCIENCE,DEVELOPMENTAL REVIEW
deviant behavior,DEVIANT BEHAVIOR,Beyond Behavior,ETHICS & BEHAVIOR
diabetes metabolic syndrome and obesity targets and therapy,Diabetes Metabolic Syndrome and Obesity-Targets and Therapy,Diabetes & Metabolic Syndrome-Clinical Research & Reviews,Metabolic Syndrome and Related Disorders
diametros,Diametros,DIABETES,BIOMETALS
disability and health journal,Disability and Health Journal,Iranian Heart Journal,Pakistan Heart Journal
disability and rehabilitation,DISABILITY AND REHABILITATION,CLINICAL REHABILITATION,Disability and Health Journal
dreaming,DREAMING,Dynamis,Imaging
dyskursy młodych andragogów,Dyskursy Młodych Andragogów,Dyskurs i Dialog,NATURAL PRODUCT REPORTS
dyskursy o kulturze discourses on culture,Discourses on Culture,Yazyk i Kultura-Language and Culture,Early Popular Visual Culture
dyslexia,DYSLEXIA,DYSPHAGIA,HESPERIA
dziecko krzywdzone,Dzieje Najnowsze,Notes Muzyczny,Ziemia Kujawska
educational psychology special issue ,EDUCATIONAL PSYCHOLOGY REVIEW,Educational Psychology in Practice,EDUCATIONAL PSYCHOLOGIST
educational sciences theory  practice,Educational Sciences-Theory & Practice,Educational Psychology in Practice,Regional Science Policy and Practice
european journal of personality,EUROPEAN JOURNAL OF PERSONALITY,European Journal of Probation,EUROPEAN JOURNAL OF NEUROLOGY
ewop in practice the eawop practitioners ejournal,Asia Pacific Public Relations Journal,SYSTEMIC PRACTICE AND ACTION RESEARCH,Politics and Religion Journal
early child development and care,Early Child Development and Care,EARLY HUMAN DEVELOPMENT,CHILD DEVELOPMENT
early education and development,Early Education and Development,EARLY HUMAN DEVELOPMENT,EVOLUTION & DEVELOPMENT
east european politics and societies,EAST EUROPEAN POLITICS AND SOCIETIES,German Politics and Society,LATIN AMERICAN POLITICS AND SOCIETY
eating behaviors,Eating Behaviors,LEARNING & BEHAVIOR,Beyond Behavior
ecological psychology,ECOLOGICAL PSYCHOLOGY,BIOLOGICAL PSYCHOLOGY,POLITICAL PSYCHOLOGY
ecology of food and nutrition,ECOLOGY OF FOOD AND NUTRITION,Ecology and Evolution,JOURNAL OF PLANT NUTRITION
education ,Education 3-13,Educacion XX1,In Education
education sciences,Education Sciences,DECISION SCIENCES,AQUATIC SCIENCES
education and information technologies,Education and Information Technologies,Cybernetics and Information Technologies,Ethics and Information Technology
education in the knowledge society eks,Education in the Knowledge Society,EDUCATIONAL TECHNOLOGY & SOCIETY,EDUCATION AND URBAN SOCIETY
educationagerontology,EDUCATIONAL GERONTOLOGY,Educational Psychology,BIOGERONTOLOGY
educational gerontology,EDUCATIONAL GERONTOLOGY,Educational Psychology,EXPERIMENTAL GERONTOLOGY
educational psychology,Educational Psychology,EDUCATIONAL PSYCHOLOGIST,EDUCATIONAL POLICY
educational role of language journal,Educational Role of Language Journal,MODERN LANGUAGE JOURNAL,Educational Media International
educational sciencestheory  practice,Educational Sciences-Theory & Practice,Educational Psychology in Practice,Regional Science Policy and Practice
educational studies review,International Studies Review,Educational Studies-AESA,EDUCATIONAL STUDIES
edukacja dorosłych,Edukacja dorosłych,Edukacja Etyczna,Edukacja
edukacja elementarna w teorii i praktyce,Edukacja Elementarna w Teorii i Praktyce,Bezpieczeństwo. Teoria i Praktyka,Educational Sciences-Theory & Practice
edukacja etyczna,Edukacja Etyczna,Edukacja,Edukacja Filozoficzna
edukacja humanistyczna,Edukacja Etyczna,Edukacja Filozoficzna,Przegląd Humanistyczny
edukacja  technika  informatyka,Dydaktyka Informatyki,EDUCATION FOR INFORMATION,"Gaz, Woda i Technika Sanitarna"
ekonprav vikliki roku,Ekonomia XXI Wieku,Zoon Politikon,Oral Tradition
electronic journal of information systems in developing countries,Electronic Journal of Information Systems in Developing Countries,Journal of Infection in Developing Countries,International Journal of Diabetes in Developing Countries
emerging adulthood,Emerging Adulthood,Autism in Adulthood,NURSING OUTLOOK
emotion,EMOTION,NATION,EVOLUTION
endocrine connections,Endocrine Connections,Endocrine Practice,ENDOCRINE REVIEWS
energies,Energies,ENERGY,Emerita
energy research and social science,Energy Research & Social Science,Sexuality Research and Social Policy,Minerva Dental and Oral Science
entertainment computing,Entertainment Computing,IEEE INTERNET COMPUTING,Natural Computing
entrepreneurial business and economics review,Entrepreneurial Business and Economics Review,Studies in Business and Economics,Journal of Asian Business and Economic Studies
environment and behavior,ENVIRONMENT AND BEHAVIOR,ENVIRONMENT AND HISTORY,HORMONES AND BEHAVIOR
environmental education research,Environmental Education Research,Environmental Engineering Research,ENVIRONMENTAL RESEARCH
environmental health perspectives,ENVIRONMENTAL HEALTH PERSPECTIVES,Environmental Health Insights,Environmental Earth Sciences
environmental pollution barking essex  ,ENVIRONMENTAL POLLUTION,Environmental Engineering Research,Environmental Education Research
epilepsy and behavior,EPILEPSY & BEHAVIOR,AIDS AND BEHAVIOR,Brain and Behavior
episteme,SYSTEM,Systems,EPISODES
erudito et ars,BIOMETALS,STUDIA BAS,Revista Letras
etyka biznesu i zrównoważony rozwój interdyscyplinarne studia teoretycznoempiryczne,MOSAIC-A JOURNAL FOR THE INTERDISCIPLINARY STUDY OF LITERATURE,Rupkatha Journal on Interdisciplinary Studies in Humanities,International Journal of Interdisciplinary Social Science Studies
eur j econ bus stud,Nutrition Bulletin,ENERGY ECONOMICS,URBAN ECOSYSTEMS
eur psychiatry,BMC Psychiatry,World Psychiatry,JAMA Psychiatry
eurasian geography and economics,EURASIAN GEOGRAPHY AND ECONOMICS,FOREST POLICY AND ECONOMICS,EASTERN EUROPEAN ECONOMICS
europes journal of psychology,Europes Journal of Psychology,EUROPEAN JOURNAL OF PHYCOLOGY,BRITISH JOURNAL OF PSYCHOLOGY
european archives of otorhinolaryngology,EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY,International Archives of Otorhinolaryngology,Brazilian Journal of Otorhinolaryngology
european eating disorders review,EUROPEAN EATING DISORDERS REVIEW,European Business Review,European Cardiology Review
european journal of cancer care,EUROPEAN JOURNAL OF CANCER CARE,EUROPEAN JOURNAL OF CANCER,European Journal of Nanomedicine
european journal of cardiovascular nursing,European Journal of Cardiovascular Nursing,Journal of Cardiovascular Nursing,European Journal of Oncology Nursing
european journal of developmental psychology,European Journal of Developmental Psychology,BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,European Journal of Health Psychology
european journal of economics and business studies,African Journal of Economic and Management Studies,European Journal of Management and Business Economics,JOURNAL OF ECONOMICS AND BUSINESS
european journal of education,European Journal of Education,European Journal of Population,European Journal of Probation
european journal of interdisciplinary studies,Journal of Interdisciplinary Studies,European Journal of American Studies,European Journal of Scandinavian Studies
european journal of neuroscience,EUROPEAN JOURNAL OF NEUROSCIENCE,European Journal of Sport Science,EUROPEAN JOURNAL OF SOIL SCIENCE
european journal of nutrition,EUROPEAN JOURNAL OF NUTRITION,European Journal of Education,European Journal of Probation
european journal of personality,EUROPEAN JOURNAL OF PERSONALITY,European Journal of Probation,EUROPEAN JOURNAL OF NEUROLOGY
european journal of population,European Journal of Population,European Journal of Education,European Journal of Probation
european journal of psychiatry,EUROPEAN JOURNAL OF PSYCHIATRY,ASEAN Journal of Psychiatry,AMERICAN JOURNAL OF PSYCHIATRY
european journal of psychotraumatology,European Journal of Psychotraumatology,EUROPEAN JOURNAL OF PHARMACOLOGY,European Journal of Rheumatology
european journal of social psychology,EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,European Journal of Health Psychology,ASIAN JOURNAL OF SOCIAL PSYCHOLOGY
european journal of social science education and research,Indian Journal of Pharmaceutical Education and Research,JOURNAL OF PLANNING EDUCATION AND RESEARCH,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH
european journal of special needs education,European Journal of Special Needs Education,European Journal of Dental Education,European Journal of Teacher Education
european journal of trauma  dissociation,Journal of Trauma & Dissociation,European Journal of Teacher Education,EUROPEAN JOURNAL OF COMMUNICATION
european management journal,European Management Journal,Project Management Journal,European Management Review
european psychiatry,EUROPEAN PSYCHIATRY,Alpha Psychiatry,European Security
european review of applied psychology,European Review of Social Psychology,EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,JOURNAL OF APPLIED PSYCHOLOGY
european journal of oral sciences,EUROPEAN JOURNAL OF ORAL SCIENCES,EUROPEAN JOURNAL OF SOIL SCIENCE,European Journal of Sport Science
european journal of surgical oncology  the journal of the european society of surgical oncology and the british association of surgical oncology,Fabrications-The Journal of the Society of Architectural Historians Australia and New Zealand,Architectural Heritage: Journal of the Architectural Heritage Society of Scotland,ET-Studies - Journal of the European Society for Catholic Theology
european neuropsychopharmacology  the journal of the european college of neuropsychopharmacology,INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,ET-Studies - Journal of the European Society for Catholic Theology,PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY
evolutionary behavioral sciences,Journal of Behavioral Science,Evolutionary Psychological Science,Psychiatry and Behavioral Sciences
evolutionary psychological sciences,Evolutionary Psychological Science,Clinical Psychological Science,Evolutionary Psychology
evolutionary psychology,Evolutionary Psychology,EVOLUTIONARY ECOLOGY,Evolutionary Biology
experimental brain research,EXPERIMENTAL BRAIN RESEARCH,EXPERIMENTAL AGING RESEARCH,EXPERIMENTAL CELL RESEARCH
experimental psychology,EXPERIMENTAL PSYCHOLOGY,EXPERIMENTAL PHYSIOLOGY,EXPERIMENTAL NEUROLOGY
expert review of medical devices,Expert Review of Medical Devices,Expert Review of Vaccines,Expert Review of Proteomics
explore,ECOLOGY,FLORA,mSphere
ezik i literatura,Ezik i literatura,CESKA LITERATURA,Paidia i Literatura
frontiers in psychology,Frontiers in Psychology,Frontiers in Physiology,Frontiers in Oncology
fabrica societatis,Fabrica Societatis,AMERICAN SCIENTIST,Aula Orientalis
family forum,Family Forum,Family Journal,Cancer Forum
fatigue biomedicine health  behavior,Fatigue-Biomedicine Health and Behavior,AMERICAN JOURNAL OF HEALTH BEHAVIOR,Religion Brain & Behavior
feminism  psychology,FEMINISM & PSYCHOLOGY,POLITICAL PSYCHOLOGY,MEDIA PSYCHOLOGY
fides ratio et patria studia toruńskie,"Fides, Ratio et Patria. Studia Toruńskie",International Area Studies Review,Krakowskie Studia Małopolskie
filozofia nauki,Filozofia Nauki,FILOZOFIA,Filosofia Politica
filozofia publiczna i edukacja demokratyczna,Filozofia Publiczna i Edukacja Demokratyczna,Filozoficzne Problemy Edukacji,ECONOMIC AND INDUSTRIAL DEMOCRACY
first language,First Language,MIND & LANGUAGE,LANGUAGE
fizjoterapia polska,Ginekologia Polska,Farmacja Polska,Gerontologia Polska
flavour and fragrance journal,FLAVOUR AND FRAGRANCE JOURNAL,FOOD AND DRUG LAW JOURNAL,Global Finance Journal
folia cardiologica,Folia Cardiologica,ACTA CARDIOLOGICA,FOLIA BIOLOGICA
folia neuropathologica,FOLIA NEUROPATHOLOGICA,ACTA NEUROPATHOLOGICA,FOLIA MORPHOLOGICA
folia psychologica,ACTA PSYCHOLOGICA,STUDIA PSYCHOLOGICA,FOLIA MORPHOLOGICA
folia turistica,Folia Turistica,Acta Turistica,FOLIA LINGUISTICA
folia medica cracoviensia,Folia Historica Cracoviensia,Classica Cracoviensia,Analecta Cracoviensia
food chemistry,FOOD CHEMISTRY,Food & History,Open Chemistry
food policy,FOOD POLICY,Law & Policy,Global Policy
food research international,FOOD RESEARCH INTERNATIONAL,Biomed Research International,STEEL RESEARCH INTERNATIONAL
foods,Foods,Fluids,Atoms
forum filologiczne ateneum,Forum Filologiczne Ateneum,Forum Teologiczne,Prace Filologiczne
forum nefrologiczne tom  nr  ,Forum Filologiczne Ateneum,Forum Teologiczne,Forum Pedagogiczne
forum qualitative sozialforschung  forum qualitative social research,Qualitative Research in Sport Exercise and Health,Departures in Critical Qualitative Research,International Journal for Quality Research
forum socjologiczne,Forum Teologiczne,Forum Pedagogiczne,Forum Reumatologiczne
foundations of science,Foundations of Science,Foundations of Data Science,FOUNDATIONS OF PHYSICS
front psychiatry,World Psychiatry,BMC Psychiatry,Lancet Psychiatry
front psychol,CURRENT PSYCHOLOGY,Frontiera ORL,Cogent Psychology
frontiers in aging neuroscience,Frontiers in Aging Neuroscience,Frontiers in Human Neuroscience,Frontiers in Neuroscience
frontiers in behavioral neuroscience,Frontiers in Behavioral Neuroscience,Frontiers in Human Neuroscience,Frontiers in Computational Neuroscience
frontiers in education,Frontiers in Nutrition,Frontiers in Medicine,Frontiers in Communication
frontiers in human neuroscience,Frontiers in Human Neuroscience,Frontiers in Aging Neuroscience,Frontiers in Neuroscience
frontiers in neuroinformatics,Frontiers in Neuroinformatics,Frontiers in Neurorobotics,Frontiers in Neuroanatomy
frontiers in neurorobotics,Frontiers in Neurorobotics,Frontiers in Neuroinformatics,Frontiers in Neuroscience
frontiers in neuroscience,Frontiers in Neuroscience,Frontiers in Earth Science,Frontiers in Life Science
frontiers in pediatrics,Frontiers in Pediatrics,Frontiers in Genetics,Frontiers in Medicine
frontiers in physiology,Frontiers in Physiology,Frontiers in Psychology,Frontiers in Physics
frontiers in psychiatry,Frontiers in Psychiatry,Frontiers in Psychology,Frontiers in Chemistry
frontiers in psychology,Frontiers in Psychology,Frontiers in Physiology,Frontiers in Oncology
frontiers in public health,Frontiers in Public Health,Advances in Public Health,Zoonoses and Public Health
frontiers in systems neuroscience,Frontiers in Systems Neuroscience,Frontiers in Human Neuroscience,Frontiers in Aging Neuroscience
frontiers in behavioral neuroscience,Frontiers in Behavioral Neuroscience,Frontiers in Human Neuroscience,Frontiers in Computational Neuroscience
frontiers in human neuroscience,Frontiers in Human Neuroscience,Frontiers in Aging Neuroscience,Frontiers in Neuroscience
frontiers in neuroscience,Frontiers in Neuroscience,Frontiers in Earth Science,Frontiers in Life Science
frontiers in psychiatry,Frontiers in Psychiatry,Frontiers in Psychology,Frontiers in Chemistry
frontiers in psychology,Frontiers in Psychology,Frontiers in Physiology,Frontiers in Oncology
gospodarka rynek edukacja  economy market education,Research in Science & Technological Education,Roeper Review-A Journal on Gifted Education,JOURNAL OF ECONOMIC EDUCATION
gait and posture,GAIT & POSTURE,Games and Culture,Space and Culture
games and culture,Games and Culture,Space and Culture,Design and Culture
gastroenterology review,Gastroenterology Report,Gastroenterology Research,Gastroenterology Nursing
gaz uniw katowice,GAYANA BOTANICA,QUADERNI STORICI,STUDI STORICI
gazeta uniwersytecka społeczności akademickiej uniwersytetu gdańskiego,Studia Religiologica - Zeszyty Naukowe Uniwersytetu Jagiellońskiego,Prace Etnograficzne. Zeszyty Naukowe Uniwersytetu Jagiellońskiego,Filologia Polska. Roczniki Naukowe Uniwersytetu Zielonogórskiego
general and professional education,REMEDIAL AND SPECIAL EDUCATION,JOURNAL OF PROFESSIONAL NURSING,GENDER AND EDUCATION
genes brain and behavior,GENES BRAIN AND BEHAVIOR,Brain and Behavior,Brain Imaging and Behavior
geriatria,Geriatria,Geriatrics,Geoadria
geropsych,Henoch,Tropics,GENOMICS
gerontol pol,GERONTOLOGY,GERONTOLOGIST,GERODONTOLOGY
gerontologia polska,Gerontologia Polska,Ginekologia Polska,Kardiologia Polska
ginpolmedproject,Biology Direct,Nano Express,GENOME RESEARCH
ginekologia polska,Ginekologia Polska,Kardiologia Polska,Gerontologia Polska
ginekologia i poloznictwo,Ginekologia Polska,Anestezjologia i Ratownictwo,Inżynieria i Budownictwo
globalization and health,Globalization and Health,Conflict and Health,Global Mental Health
glossa a journal of general linguistics,Glossa-A Journal of General Linguistics,Token: A journal of English Linguistics,RUSSIAN JOURNAL OF GENERAL CHEMISTRY
gospodarka rynek edukacja  vol  nr   ,Gospodarka Materialowa & Logistyka,Gospodarka w Praktyce i Teorii,COMPARATIVE EDUCATION REVIEW
group dynamics,Geodynamics,Fluid Dynamics,OCEAN DYNAMICS
hacettepe university journal of education,European Journal of Education,Gazi University Journal of Science,Turkish Journal of Education
harm reduction journal,Harm Reduction Journal,HEALTH EDUCATION JOURNAL,BIOREMEDIATION JOURNAL
health education and behavior,HEALTH EDUCATION & BEHAVIOR,HEALTH EDUCATION RESEARCH,HEALTH EDUCATION JOURNAL
health problems of civilization,Health Problems of Civilization,HEALTH PROMOTION INTERNATIONAL,HEALTH COMMUNICATION
health promotion perspectives,Health Promotion Perspectives,Health Promotion Practice,HEALTH PROMOTION INTERNATIONAL
health psychology,HEALTH PSYCHOLOGY,THEORY & PSYCHOLOGY,MEDIA PSYCHOLOGY
health psychology open,HEALTH PSYCHOLOGY,Health Psychology Review,Health Psychology Report
health psychology report,Health Psychology Report,Health Psychology Review,Health Psychology Research
health psychology report   pp ,Health Psychology Report,Health Psychology Research,Health Psychology Review
health psychology report  ,Health Psychology Report,Health Psychology Research,Health Psychology Review
health psychology report  ,Health Psychology Report,Health Psychology Research,Health Psychology Review
health psychology review,Health Psychology Review,Health Sociology Review,Health Psychology Report
health technology assessment,HEALTH TECHNOLOGY ASSESSMENT,Health Psychology Research,Health Psychology Review
health and quality of life outcomes,Health and Quality of Life Outcomes,QUALITY OF LIFE RESEARCH,Health and Human Rights
health care as a personal and social asset,Health Care Management Science,Aotearoa New Zealand Social Work,HEALTH CARE ANALYSIS
healthcare,Healthcare,Breast Care,Health Scope
hearing research,HEARING RESEARCH,Tree-Ring Research,NURSING RESEARCH
hejnał oświatowy,Forum Oświatowe,German History,Media History
heliyon,Heliyon,HELIOS,RELIGION
hellenic journal of psychology,Hellenic Journal of Cardiology,AMERICAN JOURNAL OF PSYCHOLOGY,Spanish Journal of Psychology
heroin addiction and related clinical problems,Heroin Addiction and Related Clinical Problems,Addiction Science & Clinical Practice,Dental and Medical Problems
history of psychology,History of Psychology,HISTORY OF PSYCHIATRY,THEORY & PSYCHOLOGY
historyka studia metodologiczne,Historyka. Studia Metodologiczne,Tarnowskie Studia Teologiczne,Kieleckie Studia Teologiczne
hommo ludens,Homo Ludens,Home Cultures,Human Arenas
horizons of education,History of Education,SOCIOLOGY OF EDUCATION,Journal of Education
hormones and behavior,HORMONES AND BEHAVIOR,Brain and Behavior,AIDS AND BEHAVIOR
horyzonty psychologii,HORYZONTY WYCHOWANIA,Horyzonty Polityki,CURRENT PSYCHOLOGY
horyzonty psychologii i nauk o człowieku,PRZEGLĄD SOCJOLOGII JAKOŚCIOWEJ,Postępy Psychiatrii i Neurologii,Teologia i Człowiek
housing theory and society,Housing Theory & Society,THEORY AND SOCIETY,Social Policy and Society
hrvatska revija za rehabilitacijska istrazivanja,Zbornik Instituta za Pedagoska Istrazivanja,Evropska revija za pravo osiguranja,Economic Research-Ekonomska Istrazivanja
human movement,HUMAN DEVELOPMENT,Human Gene,Management
human nature,HUMAN FACTORS,HUMAN STUDIES,Human Gene
human studies a collection of scientific articles of the drohobych ivan franko state pedagogical university series of pedagogy,BULLETIN OF THE SCHOOL OF ORIENTAL AND AFRICAN STUDIES-UNIVERSITY OF LONDON,Vestnik Tomskogo Gosudarstvennogo Universiteta Istoriya-Tomsk State University Journal of History,Bulletin of Irkutsk State University-Series Mathematics
human technology,HUMAN ECOLOGY,HUMAN PATHOLOGY,HUMAN IMMUNOLOGY
humanum,Quantum,Lucentum,Romania
hungarian educational research journal,European Educational Research Journal,AMERICAN EDUCATIONAL RESEARCH JOURNAL,BRITISH EDUCATIONAL RESEARCH JOURNAL
hygeia warsz,Civil Wars,Venezia Arti,STUDIA BAS
hygeia public health,Global Public Health,Critical Public Health,BMC PUBLIC HEALTH
ieee access,IEEE Access,IEEE MICRO,IEEE Pulse
ieee industrial electronics magazine,IEEE Industrial Electronics Magazine,IEEE Consumer Electronics Magazine,IEEE Power Electronics Magazine
ieee journal of biomedical and health informatics,IEEE Journal of Biomedical and Health Informatics,JOURNAL OF BIOMEDICAL INFORMATICS,Journal of Medical Imaging and Health Informatics
ieee open journal of engineering in medicine and biology,IEEE Open Journal of Engineering in Medicine and Biology,Journal of Mechanics in Medicine and Biology,JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY
ieee sensors journal,IEEE SENSORS JOURNAL,IEEE Systems Journal,IEEE Photonics Journal
ieee transactions on cognitive and developmental systems,IEEE Transactions on Cognitive and Developmental Systems,IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,IEEE Transactions on Control of Network Systems
ieee transactions on neural systems and rehabilitation engineering,IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEJ Transactions on Electrical and Electronic Engineering
iet information security,IET Information Security,INFORMATION SOCIETY,INTERNATIONAL SECURITY
international journal of neuroscience,INTERNATIONAL JOURNAL OF NEUROSCIENCE,International Journal of Nanoscience,International Journal of Oral Science
international journal of psychology,INTERNATIONAL JOURNAL OF PSYCHOLOGY,International Journal of Sociology,International Journal of Technology
international journal of psychophysiology,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,INTERNATIONAL JOURNAL OF PSYCHOLOGY,International Journal of Sociology
isee conference abstracts,Il Confronto Letterario,YALE FRENCH STUDIES,SCIENCE & SPORTS
industrial health,INDUSTRIAL HEALTH,INDUSTRIAL RELATIONS,Digital Health
industrial informatics indin  ieee th international conference,NUTRITION AND CANCER-AN INTERNATIONAL JOURNAL,Journal of Informatics and Mathematical Sciences,JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES
infancia y aprendizaje,Infancia y Aprendizaje,Infancias Imagenes,Financial Review
infant behavior and development,INFANT BEHAVIOR & DEVELOPMENT,INFANT AND CHILD DEVELOPMENT,BRAIN BEHAVIOR AND EVOLUTION
information systems management,INFORMATION SYSTEMS MANAGEMENT,INFORMATION & MANAGEMENT,HUMAN SYSTEMS MANAGEMENT
information technology for development,Information Technology for Development,Information Technology & Management,Information Technology & People
informator oświatowy,Forum Oświatowe,INFORMATION SOCIETY,Information Fusion
intelligence,INTELLIGENCE,Web Intelligence,Data Intelligence
interdyscyplinarne konteksty pedagogiki specjalnej,Interdyscyplinarne Konteksty Pedagogiki Specjalnej,Niepełnosprawność. Dyskursy pedagogiki specjalnej,Interdisciplinary Studies of Literature
internal security,Internal Security,INTERNATIONAL SECURITY,INTERNAL MEDICINE
international archives of occupational and environmental health,INTERNATIONAL ARCHIVES OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH,INTERNATIONAL JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH,International Journal of Occupational and Environmental Medicine
international clinical neuroscience journal,International Cancer Conference Journal,INTERNATIONAL POLITICAL SCIENCE REVIEW,International Public Management Journal
international emergency nursing,International Emergency Nursing,Journal of Emergency Nursing,International Energy Journal
international gambling studies,International Gambling Studies,International Planning Studies,International Sports Studies
international journal for the advancement of counselling,INTERNATIONAL JOURNAL FOR THE ADVANCEMENT OF COUNSELLING,International Journal of Pavement Engineering,International Journal for the Psychology of Religion
international journal of academic research in business and social sciences,International Journal of New Economics and Social Sciences,International Journal of Innovative Technologies in Social Science,International Journal of Medical Research & Health Sciences
international journal of analytical chemistry,International Journal of Analytical Chemistry,International Journal of Industrial Chemistry,International Journal of Medicinal Chemistry
international journal of artificial organs,INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS,INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS,International Journal of Material Forming
international journal of automation and smart technologyopen access,International Journal of Innovation and Technology Management,International Journal of Automation Technology,International Journal of Information and Learning Technology
international journal of behavioral medicine,INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,International Journal of General Medicine,INTERNATIONAL JOURNAL OF LEGAL MEDICINE
international journal of bilingual education and bilingualism,International Journal of Bilingual Education and Bilingualism,International Journal of Education and the Arts,INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS
international journal of bilingualism,International Journal of Bilingualism,International Journal of Multilingualism,International Journal of Business
international journal of clinical and health psychology,International Journal of Clinical and Health Psychology,International Journal of Clinical and Experimental Pathology,International Journal of Educational Psychology
international journal of comparative psychology,INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY,INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY,International Journal of AEROSPACE Psychology
international journal of contemporary management,International Journal of Contemporary Management,International Journal of Cancer Management,International Journal of Network Management
international journal of developmental disabilities,International Journal of Developmental Disabilities,INTERNATIONAL JOURNAL OF DEVELOPMENTAL BIOLOGY,INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE
international journal of disability development and education,International Journal of Disability Development and Education,International Journal of Health Promotion and Education,International Journal of Artificial Intelligence in Education
international journal of education and science,International Journal of Educational Sciences,International Journal of Education and the Arts,International Journal of Innovation Science
international journal of forensic mental health,International Journal of Forensic Mental Health,INTERNATIONAL JOURNAL OF MENTAL HEALTH,International Journal of Transgender Health
international journal of group psychotherapy,INTERNATIONAL JOURNAL OF GROUP PSYCHOTHERAPY,International Journal of Group Theory,International Journal of Integrative Psychotherapy
international journal of human resource management,INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT,International Journal of Cancer Management,International Journal of Healthcare Management
international journal of hygiene and environmental health,INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,INTERNATIONAL JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH,International Journal of Forensic Mental Health
international journal of innovative research in computer and communication engineering,International Journal of Naval Architecture and Ocean Engineering,International Journal of Pervasive Computing and Communications,International Journal of Future Generation Communication and Networking
international journal of intercultural relations,INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS,International Journal of Multicultural Education,International Journal of Differential Equations
international journal of language  communication disorders,INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS,International Journal of Mobile Communications
international journal of mental health and addiction,International Journal of Mental Health and Addiction,International Journal of Mental Health Promotion,International Journal of Mental Health Nursing
international journal of methods in psychiatric research,INTERNATIONAL JOURNAL OF METHODS IN PSYCHIATRIC RESEARCH,International Journal of Fluid Mechanics Research,INTERNATIONAL JOURNAL OF REHABILITATION RESEARCH
international journal of molecular sciences,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,International Journal of Medical Sciences,INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE
international journal of multilingualism,International Journal of Multilingualism,International Journal of Bilingualism,International Journal of Multiphysics
